name,class,country,year
M261,M-class Minesweeper,Germany,1942
M262,M-class Minesweeper,Germany,1942
M263,M-class Minesweeper,Germany,1942
M264,M-class Minesweeper,Germany,
M265,M-class Minesweeper,Germany,1943
M266,M-class Minesweeper,Germany,1944
M267,M-class Minesweeper,Germany,1944
M27,M-class Minesweeper,Germany,1940
M271,M-class Minesweeper,Germany,1942
M272,M-class Minesweeper,Germany,1942
M273,M-class Minesweeper,Germany,1942
M274,M-class Minesweeper,Germany,1942
M275,M-class Minesweeper,Germany,1943
M276,M-class Minesweeper,Germany,1943
M277,M-class Minesweeper,Germany,1943
M278,M-class Minesweeper,Germany,1944
M279,M-class Minesweeper,Germany,1944
M28,M-class Minesweeper,Germany,1940
M280,M-class Minesweeper,Germany,
M29,M-class Minesweeper,Germany,1940
M291,M-class Minesweeper,Germany,
M292,M-class Minesweeper,Germany,
M293,M-class Minesweeper,Germany,
M294,M-class Minesweeper,Germany,
M295 (Planned),M-class Minesweeper,Germany,
M296,M-class Minesweeper,Germany,
M297 (Planned),M-class Minesweeper,Germany,
M3,M-class Minesweeper,Germany,1937
M30,M-class Minesweeper,Germany,1940
M301,M-class Minesweeper,Germany,
M302,M-class Minesweeper,Germany,
M303,M-class Minesweeper,Germany,
M304,M-class Minesweeper,Germany,
M305,M-class Minesweeper,Germany,
M306,M-class Minesweeper,Germany,
M307,M-class Minesweeper,Germany,
M31,M-class Minesweeper,Germany,1940
M32,M-class Minesweeper,Germany,1940
M321,M-class Minesweeper,Germany,1941
M322,M-class Minesweeper,Germany,1941
M323,M-class Minesweeper,Germany,1941
M324,M-class Minesweeper,Germany,1941
M325,M-class Minesweeper,Germany,1942
M326,M-class Minesweeper,Germany,1943
M327,M-class Minesweeper,Germany,1943
M328,M-class Minesweeper,Germany,1943
M329,M-class Minesweeper,Germany,
M33,M-class Minesweeper,Germany,1942
M330,M-class Minesweeper,Germany,
M34,M-class Minesweeper,Germany,1942
M341,M-class Minesweeper,Germany,1941
M342,M-class Minesweeper,Germany,1941
M343,M-class Minesweeper,Germany,1941
M344,M-class Minesweeper,Germany,1941
M345,M-class Minesweeper,Germany,1942
M346,M-class Minesweeper,Germany,1942
M347,M-class Minesweeper,Germany,1942
M348,M-class Minesweeper,Germany,1942
M35,M-class Minesweeper,Germany,1940
M36,M-class Minesweeper,Germany,1940
M361,M-class Minesweeper,Germany,
M362,M-class Minesweeper,Germany,
M363,M-class Minesweeper,Germany,
M364,M-class Minesweeper,Germany,
M365,M-class Minesweeper,Germany,
M366,M-class Minesweeper,Germany,
M367,M-class Minesweeper,Germany,
M368,M-class Minesweeper,Germany,
M369,M-class Minesweeper,Germany,
M37,M-class Minesweeper,Germany,1940
M370,M-class Minesweeper,Germany,
M371,M-class Minesweeper,Germany,
M372,M-class Minesweeper,Germany,
M373,M-class Minesweeper,Germany,
M374,M-class Minesweeper,Germany,
M375,M-class Minesweeper,Germany,
M376,M-class Minesweeper,Germany,
M377,M-class Minesweeper,Germany,
M378 (Planned),M-class Minesweeper,Germany,
M379 (Planned),M-class Minesweeper,Germany,
M38,M-class Minesweeper,Germany,1941
M380 (Planned),M-class Minesweeper,Germany,
M381,M-class Minesweeper,Germany,
M382,M-class Minesweeper,Germany,
M383,M-class Minesweeper,Germany,
M384,M-class Minesweeper,Germany,
M385,M-class Minesweeper,Germany,
M386,M-class Minesweeper,Germany,
M387,M-class Minesweeper,Germany,
M388,M-class Minesweeper,Germany,
M389,M-class Minesweeper,Germany,
M39,M-class Minesweeper,Germany,1941
M4,M-class Minesweeper,Germany,1937
M401,M-class Minesweeper,Germany,
M402,M-class Minesweeper,Germany,
M403,M-class Minesweeper,Germany,
M404,M-class Minesweeper,Germany,
M405,M-class Minesweeper,Germany,
M406,M-class Minesweeper,Germany,
M407,M-class Minesweeper,Germany,
M408,M-class Minesweeper,Germany,
M409 (Planned),M-class Minesweeper,Germany,
M410 (Planned),M-class Minesweeper,Germany,
M411,M-class Minesweeper,Germany,
M412,M-class Minesweeper,Germany,
M413,M-class Minesweeper,Germany,
M414,M-class Minesweeper,Germany,
M415,M-class Minesweeper,Germany,
M416,M-class Minesweeper,Germany,
M417 (Planned),M-class Minesweeper,Germany,
M418 (Planned),M-class Minesweeper,Germany,
M419 (Planned),M-class Minesweeper,Germany,
M420 (Planned),M-class Minesweeper,Germany,
M421,M-class Minesweeper,Germany,
M422,M-class Minesweeper,Germany,
M423,M-class Minesweeper,Germany,
M424,M-class Minesweeper,Germany,
M425,M-class Minesweeper,Germany,
M426,M-class Minesweeper,Germany,
M427,M-class Minesweeper,Germany,
M428,M-class Minesweeper,Germany,
M429 (Planned),M-class Minesweeper,Germany,
M430 (Planned),M-class Minesweeper,Germany,
M431,M-class Minesweeper,Germany,
M432,M-class Minesweeper,Germany,
M433,M-class Minesweeper,Germany,
M434,M-class Minesweeper,Germany,
M435,M-class Minesweeper,Germany,
M436,M-class Minesweeper,Germany,
M437,M-class Minesweeper,Germany,
M438,M-class Minesweeper,Germany,
M439 (Planned),M-class Minesweeper,Germany,
M440 (Planned),M-class Minesweeper,Germany,
M441,M-class Minesweeper,Germany,
M442,M-class Minesweeper,Germany,
M443,M-class Minesweeper,Germany,
M444,M-class Minesweeper,Germany,
M445,M-class Minesweeper,Germany,
M446,M-class Minesweeper,Germany,
M447 (Planned),M-class Minesweeper,Germany,
M448 (Planned),M-class Minesweeper,Germany,
M449 (Planned),M-class Minesweeper,Germany,
M450 (Planned),M-class Minesweeper,Germany,
M451 (Planned),M-class Minesweeper,Germany,
M452 (Planned),M-class Minesweeper,Germany,
M453 (Planned),M-class Minesweeper,Germany,
M454 (Planned),M-class Minesweeper,Germany,
M455 (Planned),M-class Minesweeper,Germany,
M456 (Planned),M-class Minesweeper,Germany,
M457 (Planned),M-class Minesweeper,Germany,
M458 (Planned),M-class Minesweeper,Germany,
M459,M-class Minesweeper,Germany,
M460,M-class Minesweeper,Germany,
M461,M-class Minesweeper,Germany,
M462,M-class Minesweeper,Germany,
M463,M-class Minesweeper,Germany,
M464 (Planned),M-class Minesweeper,Germany,
M465 (Planned),M-class Minesweeper,Germany,
M466 (Planned),M-class Minesweeper,Germany,
M467,M-class Minesweeper,Germany,
M468,M-class Minesweeper,Germany,
M469,M-class Minesweeper,Germany,
M470,M-class Minesweeper,Germany,
M471,M-class Minesweeper,Germany,
M472 (Planned),M-class Minesweeper,Germany,
M473 (Planned),M-class Minesweeper,Germany,
M474 (Planned),M-class Minesweeper,Germany,
M475,M-class Minesweeper,Germany,
M476,M-class Minesweeper,Germany,
M477 (Planned),M-class Minesweeper,Germany,
M478 (Planned),M-class Minesweeper,Germany,
M479 (Planned),M-class Minesweeper,Germany,
M480 (Planned),M-class Minesweeper,Germany,
M481 (Planned),M-class Minesweeper,Germany,
M482 (Planned),M-class Minesweeper,Germany,
M483,M-class Minesweeper,Germany,
M484,M-class Minesweeper,Germany,
M485 (Planned),M-class Minesweeper,Germany,
M486,M-class Minesweeper,Germany,
M487 (Planned),M-class Minesweeper,Germany,
M488 (Planned),M-class Minesweeper,Germany,
M489,M-class Minesweeper,Germany,
M490 (Planned),M-class Minesweeper,Germany,
M491 (Planned),M-class Minesweeper,Germany,
M492 (Planned),M-class Minesweeper,Germany,
M493 (Planned),M-class Minesweeper,Germany,
M494 (Planned),M-class Minesweeper,Germany,
M495,M-class Minesweeper,Germany,
M496,M-class Minesweeper,Germany,
M5,M-class Minesweeper,Germany,1937
M6,M-class Minesweeper,Germany,1938
M601 (Planned),M-class Minesweeper,Germany,
M602 (Planned),M-class Minesweeper,Germany,
M603 (Planned),M-class Minesweeper,Germany,
M604 (Planned),M-class Minesweeper,Germany,
M605 (Planned),M-class Minesweeper,Germany,
M606 (Planned),M-class Minesweeper,Germany,
M607 (Planned),M-class Minesweeper,Germany,
M608 (Planned),M-class Minesweeper,Germany,
M609 (Planned),M-class Minesweeper,Germany,
M610 (Planned),M-class Minesweeper,Germany,
M611 (Planned),M-class Minesweeper,Germany,
M612 (Planned),M-class Minesweeper,Germany,
M613 (Planned),M-class Minesweeper,Germany,
M614 (Planned),M-class Minesweeper,Germany,
M615 (Planned),M-class Minesweeper,Germany,
M616 (Planned),M-class Minesweeper,Germany,
M617 (Planned),M-class Minesweeper,Germany,
M618 (Planned),M-class Minesweeper,Germany,
M619 (Planned),M-class Minesweeper,Germany,
M620 (Planned),M-class Minesweeper,Germany,
M621 (Planned),M-class Minesweeper,Germany,
M622 (Planned),M-class Minesweeper,Germany,
M623 (Planned),M-class Minesweeper,Germany,
M624 (Planned),M-class Minesweeper,Germany,
M625 (Planned),M-class Minesweeper,Germany,
M626 (Planned),M-class Minesweeper,Germany,
M627 (Planned),M-class Minesweeper,Germany,
M628 (Planned),M-class Minesweeper,Germany,
M629 (Planned),M-class Minesweeper,Germany,
M630 (Planned),M-class Minesweeper,Germany,
M631 (Planned),M-class Minesweeper,Germany,
M632 (Planned),M-class Minesweeper,Germany,
M633 (Planned),M-class Minesweeper,Germany,
M7,M-class Minesweeper,Germany,1937
M8,M-class Minesweeper,Germany,1937
M801 (Planned),M-class Minesweeper,Germany,
M802 (Planned),M-class Minesweeper,Germany,
M803 (Planned),M-class Minesweeper,Germany,
M804 (Planned),M-class Minesweeper,Germany,
M805 (Planned),M-class Minesweeper,Germany,
M806 (Planned),M-class Minesweeper,Germany,
M807 (Planned),M-class Minesweeper,Germany,
M808 (Planned),M-class Minesweeper,Germany,
M809 (Planned),M-class Minesweeper,Germany,
M81,M-class Minesweeper,Germany,1940
M810 (Planned),M-class Minesweeper,Germany,
M811 (Planned),M-class Minesweeper,Germany,
M812 (Planned),M-class Minesweeper,Germany,
M813 (Planned),M-class Minesweeper,Germany,
M814 (Planned),M-class Minesweeper,Germany,
M815 (Planned),M-class Minesweeper,Germany,
M816 (Planned),M-class Minesweeper,Germany,
M82,M-class Minesweeper,Germany,1941
M83,M-class Minesweeper,Germany,1941
M84,M-class Minesweeper,Germany,1941
M85,M-class Minesweeper,Germany,1941
M9,M-class Minesweeper,Germany,1937
Macabi,Balao-class Submarine,United States,
Mackerel,Mackerel-class Submarine,United States,
Maggiore Baracca,Marconi-class Submarine,Italy,
Mahan,Mahan-class Destroyer,United States,1935
Makin Island,Casablanca-class Escort Carrier,United States,1944
Malaya,Queen Elizabeth-class Battleship,United Kingdom,1915
Manila Bay,Casablanca-class Escort Carrier,United States,1943
Manta,Balao-class Submarine,United States,1943
Mapiro,Balao-class Submarine,United States,
Marblehead,Omaha-class Light Cruiser,United States,1923
Marcello,Marcello-class Submarine,Italy,
Marcus Island,Casablanca-class Escort Carrier,United States,1943
Marlin,Mackerel-class Submarine,United States,1941
Marseillaise,La Galissonnière-class Light Cruiser,France,1935
Maryland,Colorado-class Battleship,United States,1920
MAS-class Summary Information,MAS-class Motor Torpedo Boat,Italy,
Mason,Evarts-class Destroyer Escort,United States,1943
Massachusetts,South Dakota-class Battleship,United States,1941
Matsu,Matsu-class Destroyer,Japan,1944
Mauritius,Crown Colony-class Light Cruiser,United Kingdom,1939
Maury,Gridley-class Destroyer,United States,1938
Maxim Gorkiy,Kirov-class Light Cruiser,Russia,1938
Maya,Takao-class Heavy Cruiser,Japan,1930
McCall,Gridley-class Destroyer,United States,1937
McDougal,Porter-class Destroyer,United States,
McFarland,Clemson-class Destroyer,United States,1920
Memphis,Omaha-class Light Cruiser,United States,1924
Menhaden,Balao-class Submarine,United States,1944
Mero,Balao-class Submarine,United States,1945
Miami,Cleveland-class Light Cruiser,United States,1942
Michel,No Classification,Germany,1939
Michishio,Asashio-class Destroyer,Japan,1937
Mikuma,Mogami-class Heavy Cruiser,Japan,1934
Milfoil,Flower-class Corvette,United Kingdom,1942
Milwaukee,Omaha-class Light Cruiser,United States,1921
Minegumo,Asashio-class Destroyer,Japan,1938
Mingo,Gato-class Submarine,United States,1942
Minneapolis,New Orleans-class Heavy Cruiser,United States,1933
Minquan,No Classification,China,1929
Mircea,Gorch Fock-class Barque,Germany,1938
Mississippi,New Mexico-class Battleship,United States,1917
Missouri,Iowa-class Battleship,United States,1944
Mitragliero,Soldati-class Destroyer,Italy,
Mocenigo,Marcello-class Submarine,Italy,
Mogami,Mogami-class Heavy Cruiser,Japan,1934
Molotov,Kirov-class Light Cruiser,Russia,1939
Monaghan,Farragut-class Destroyer,United States,1935
Montcalm,La Galissonnière-class Light Cruiser,France,1935
Monterey,Independence-class Light Carrier,United States,1943
Montevideo Maru,No Classification,Japan,
Montpelier,Cleveland-class Light Cruiser,United States,1942
Moray,Balao-class Submarine,United States,
Morosini,Marcello-class Submarine,Italy,
MT-class Summary Information,MT-class Motor Torpedo Boat,Italy,
Mugford,Bagley-class Destroyer,United States,1936
Murasame,Shiratsuyu-class Destroyer,Japan,1937
Musashi,Yamato-class Battleship,Japan,1940
Muskallunge,Gato-class Submarine,United States,
Mutsu,Nagato-class Battleship,Japan,1920
Mutsuki,Mutsuki-class Destroyer,Japan,1926
Myoko,Myoko-class Heavy Cruiser,Japan,1927
Möwe,1923-class Motor Torpedo Boat,Germany,1926
N,No Classification,Germany,
N (Planned),H-class Battleship,Germany,"1943 (Projected, not actual)"
N (Planned),M-class Light Cruiser,Germany,"1942 (Projected, not actual)"
N (Planned),M-class Light Cruiser,Germany,"1945 (Projected, not actual)"
N2 (Planned),M2-class Light Cruiser,Germany,"1947 (Projected, not actual)"
Nachi,Myoko-class Heavy Cruiser,Japan,1927
Nagara,Nagara-class Light Cruiser,Japan,1922
Nagato,Nagato-class Battleship,Japan,1919
Nagatsuki,Mutsuki-class Destroyer,Japan,1927
Naka,Sendai-class Light Cruiser,Japan,1925
Nani,Marcello-class Submarine,Italy,
Narwhal,Narwhal-class Submarine,United States,
Nashville,Brooklyn-class Light Cruiser,United States,1937
Natoma Bay,Casablanca-class Escort Carrier,United States,1943
Natori,Nagara-class Light Cruiser,Japan,1922
Nautilus,Narwhal-class Submarine,United States,1930
Nehenta Bay,Casablanca-class Escort Carrier,United States,
Nelson,Nelson-class Battleship,United Kingdom,1925
Neptune,Leander-class Light Cruiser,United Kingdom,1933
Nevada,Nevada-class Battleship,United States,1914
New Jersey,Iowa-class Battleship,United States,1942
New Mexico,New Mexico-class Battleship,United States,1917
New Orleans,New Orleans-class Heavy Cruiser,United States,1933
New York,New York-class Battleship,United States,1912
Newcastle,Town-class Light Cruiser,United Kingdom,1936
Ninghai,Ninghai-class Light Cruiser,China,1931
Nisshin,Nisshin-class Seaplane Carrier,Japan,1939
No. 101/103-class Summary Information,No. 101/103-class Landing Ship,Japan,
Nordmark,Dithmarschen-class Auxiliary,Germany,1937
North Carolina,North Carolina-class Battleship,United States,1940
Northampton,Northampton-class Heavy Cruiser,United States,1929
Noshiro,Agano-class Light Cruiser,Japan,1942
Nymphe,No Classification,Germany,
Nürnberg,Leipzig-class Light Cruiser,Germany,1934
O (Planned),O-class Battlecruiser,Germany,"1941 (Projected, not actual)"
O (Planned),M-class Light Cruiser,Germany,"1943 (Projected, not actual)"
O (Planned),M-class Light Cruiser,Germany,"1945 (Projected, not actual)"
O'Brien,Sims-class Destroyer,United States,1939
O2 (Planned),M2-class Light Cruiser,Germany,"1947 (Projected, not actual)"
Oberon,O-class Submarine,United Kingdom,1926
Oi,Kuma-class Light Cruiser,Japan,1920
Oklahoma,Nevada-class Battleship,United States,
Ommaney Bay,Casablanca-class Escort Carrier,United States,1943
Onami,Yugumo-class Destroyer,Japan,
Oregon,Indiana-class Battleship,United States,1893
Orion,No Classification,Germany,1930
Orzel,Orzel-class Submarine,Poland,1938
Oshio,Asashio-class Destroyer,Japan,
Ostmark,No Classification,Germany,1936
Otto Wünsche,Wilhelm Bauer-class Submarine Tender,Germany,1940
Oyodo,Oyodo-class Light Cruiser,Japan,1942
P (Planned),O-class Battlecruiser,Germany,"1941 (Projected, not actual)"
P (Planned),M-class Light Cruiser,Germany,"1943 (Projected, not actual)"
P (Planned),M-class Light Cruiser,Germany,"1945 (Projected, not actual)"
P1 (Planned),P-class Heavy Cruiser,Germany,"1943 (Projected, not actual)"
P10 (Planned),P-class Heavy Cruiser,Germany,"1944 (Projected, not actual)"
P11 (Planned),P-class Heavy Cruiser,Germany,"1944 (Projected, not actual)"
P12 (Planned),P-class Heavy Cruiser,Germany,"1945 (Projected, not actual)"
P2 (Planned),M2-class Light Cruiser,Germany,"1947 (Projected, not actual)"
P2 (Planned),P-class Heavy Cruiser,Germany,"1942 (Projected, not actual)"
P3 (Planned),P-class Heavy Cruiser,Germany,"1944 (Projected, not actual)"
P4 (Planned),P-class Heavy Cruiser,Germany,"1942 (Projected, not actual)"
P5 (Planned),P-class Heavy Cruiser,Germany,"1943 (Projected, not actual)"
P6 (Planned),P-class Heavy Cruiser,Germany,"1945 (Projected, not actual)"
P7 (Planned),P-class Heavy Cruiser,Germany,"1945 (Projected, not actual)"
P8 (Planned),P-class Heavy Cruiser,Germany,"1945 (Projected, not actual)"
P9 (Planned),P-class Heavy Cruiser,Germany,"1944 (Projected, not actual)"
Paddle,Gato-class Submarine,United States,
Pampanito,Balao-class Submarine,United States,
Panay,No Classification,United States,
Papanikolis,Katsonis-class Submarine,Greece,
Parche,Balao-class Submarine,United States,1943
Pargo,Gato-class Submarine,United States,
Parizhskava Kommuna,Gangut-class Battleship,Russia,1911
Pasadena,Cleveland-class Light Cruiser,United States,1943
Pennsylvania,Pennsylvania-class Battleship,United States,1915
Pensacola,Pensacola-class Heavy Cruiser,United States,1929
Perch (Balao-class),Balao-class Submarine,United States,
Perch (Porpoise-class),Porpoise-class Submarine,United States,1936
Permit,Porpoise-class Submarine,United States,1936
Perth,Leander-class Light Cruiser,Australia,1934
Peto,Gato-class Submarine,United States,
Petrof Bay,Casablanca-class Escort Carrier,United States,1944
Philip,Fletcher-class Destroyer,United States,1942
Phoenix,Brooklyn-class Light Cruiser,United States,1938
Pickerel,Porpoise-class Submarine,United States,1936
Picking,Fletcher-class Destroyer,United States,1943
Picuda,Balao-class Submarine,United States,
Pike,Porpoise-class Submarine,United States,
Pilotfish,Balao-class Submarine,United States,
Pinghai,Ninghai-class Light Cruiser,China,1935
Pinguin,No Classification,Germany,1936
Pintado,Balao-class Submarine,United States,1943
Pipefish,Balao-class Submarine,United States,
Piper,Balao-class Submarine,United States,
Piranha,Balao-class Submarine,United States,1943
Plaice,Balao-class Submarine,United States,1943
Plunger,Porpoise-class Submarine,United States,
Pogy,Gato-class Submarine,United States,1942
Pola,Zara-class Heavy Cruiser,Italy,
Pollack,Porpoise-class Submarine,United States,1936
Pomfret,Balao-class Submarine,United States,
Pomodon,Tench-class Submarine,United States,
Pompano,Porpoise-class Submarine,United States,
Pompon,Gato-class Submarine,United States,1942
Porpoise,Porpoise-class Submarine,United States,
Porter,Porter-class Destroyer,United States,1935
Portland,Portland-class Heavy Cruiser,United States,1932
Preston (Fletcher-class),Fletcher-class Destroyer,United States,1943
Preston (Mahan-class),Mahan-class Destroyer,United States,1936
Prichett,Fletcher-class Destroyer,United States,1943
Primauguet,Duguay-Trouin-class Light Cruiser,France,1924
Prince of Wales,King George V (1939)-class Battleship,United Kingdom,
Princeton,Independence-class Light Carrier,United States,1942
Pringle,Fletcher-class Destroyer,United States,1942
Prinz Eugen,Admiral Hipper-class Heavy Cruiser,Germany,1938
Proteus,Fulton-class Submarine Tender,United States,1942
Provana,Marcello-class Submarine,Italy,
Provence,Bretagne-class Battleship,France,1913
PT-class Summary Information,PT-class Motor Torpedo Boat,United States,
Puffer,Gato-class Submarine,United States,1942
Q (Planned),O-class Battlecruiser,Germany,"1942 (Projected, not actual)"
Q (Planned),M-class Light Cruiser,Germany,"1943 (Projected, not actual)"
Q (Planned),M-class Light Cruiser,Germany,"1945 (Projected, not actual)"
Q2 (Planned),M2-class Light Cruiser,Germany,"1947 (Projected, not actual)"
Queen Elizabeth,Queen Elizabeth-class Battleship,United Kingdom,1913
Queen Elizabeth,No Classification,United Kingdom,1938
Queen Mary,No Classification,United Kingdom,1934
Queenfish,Balao-class Submarine,United States,
Quillback,Tench-class Submarine,United States,
Quincy (Baltimore-class),Baltimore-class Heavy Cruiser,United States,
Quincy (New Orleans-class),New Orleans-class Heavy Cruiser,United States,1935
R (Planned),M-class Light Cruiser,Germany,"1943 (Projected, not actual)"
R (Planned),M-class Light Cruiser,Germany,"1945 (Projected, not actual)"
R-1,R-class Submarine,United States,1918
R-14,R-class Submarine,United States,1919
R-3/P511,R-class Submarine,United Kingdom,
R-5,R-class Submarine,United States,1918
R-7,R-class Submarine,United States,
R2 (Planned),M2-class Light Cruiser,Germany,"1947 (Projected, not actual)"
Raleigh,Omaha-class Light Cruiser,United States,
Rall,Evarts-class Destroyer Escort,United States,1943
Ralph Talbot,Bagley-class Destroyer,United States,1936
Randolph,Essex-class Aircraft Carrier,United States,1944
Ranger,Ranger-class Aircraft Carrier,United States,1933
Rasher,Gato-class Submarine,United States,
Raton,Gato-class Submarine,United States,
Rawalpindi,R-class Merchant Vessel,United Kingdom,1925
Ray,Gato-class Submarine,United States,1943
Razorback,Balao-class Submarine,United States,
Redfin,Gato-class Submarine,United States,
Redfish,Balao-class Submarine,United States,
Reginaldo Giuliani,Liuzzi-class Submarine,Italy,
Renown,Renown-class Battlecruiser,United Kingdom,
Renraku-tei-class Summary Information,Renraku-tei-class Motor Torpedo Boat,Japan,
Renshaw,Fletcher-class Destroyer,United States,1942
Repulse,Renown-class Battlecruiser,United Kingdom,
Resolution,Revenge-class Battleship,United Kingdom,
Reuben James,Clemson-class Destroyer,United States,1919
Richelieu,Richelieu-class Battleship,France,1939
Richthofen,Hans Albrecht Wedel-class Seaplane Tender,Germany,1942
Ro-58,Type L3-class Submarine,Japan,1922
Robalo,Gato-class Submarine,United States,
Rock,Gato-class Submarine,United States,1943
Rodney,Nelson-class Battleship,United Kingdom,1925
Roma,Vittorio Veneto-class Battleship,Italy,1940
Roncador,Balao-class Submarine,United States,
Ronquil,Balao-class Submarine,United States,
Royal Sovereign,Revenge-class Battleship,United Kingdom,1915
Runner (Gato-class),Gato-class Submarine,United States,1942
Runner (Tench-class),Tench-class Submarine,United States,
Ryuho,Ryuho-class Aircraft Carrier,Japan,1933
Ryujo,Ryujo-class Aircraft Carrier,Japan,1931
S-18,S-class Submarine,United States,1920
S-23,S-class Submarine,United States,1920
S-25/Jastrzab,S-class Submarine,Poland,1922
S-26,S-class Submarine,United States,
S-27,S-class Submarine,United States,1922
S-28,S-class Submarine,United States,1922
S-29/P556,S-class Submarine,United Kingdom,1922
S-30,S-class Submarine,United States,1918
S-31,S-class Submarine,United States,1918
S-32,S-class Submarine,United States,1919
S-33,S-class Submarine,United States,1918
S-34,S-class Submarine,United States,1919
S-35,S-class Submarine,United States,1919
S-36,S-class Submarine,United States,1919
S-37,S-class Submarine,United States,1919
S-38,S-class Submarine,United States,1919
S-39,S-class Submarine,United States,1919
S-40,S-class Submarine,United States,1921
S-41,S-class Submarine,United States,1921
S-42,S-class Submarine,United States,
S-43,S-class Submarine,United States,1923
S-44,S-class Submarine,United States,1923
S-45,S-class Submarine,United States,1923
S-46,S-class Submarine,United States,1923
S-47,S-class Submarine,United States,
S-7,Srednyaya-class Submarine,Russia,1937
Saar,Saar-class Submarine Tender,Germany,1934
Sable,No Classification,United States,1923
Saginaw Bay,Casablanca-class Escort Carrier,United States,
Sailfish,Sargo-class Submarine,United States,
Saint Paul,Baltimore-class Heavy Cruiser,United States,1944
Sakawa,Agano-class Light Cruiser,Japan,1944
Salmon,Salmon-class Submarine,United States,1937
Salt Lake City,Pensacola-class Heavy Cruiser,United States,1929
San Diego,Atlanta-class Light Cruiser,United States,1941
San Francisco,New Orleans-class Heavy Cruiser,United States,
San Jacinto,Independence-class Light Carrier,United States,1943
San Juan,Atlanta-class Light Cruiser,United States,1941
Sanborn,Haskell-class Attack Transport,United States,1944
Sand Lance,Balao-class Submarine,United States,
Saratoga,Lexington-class Aircraft Carrier,United States,1925
Sargent Bay,Casablanca-class Escort Carrier,United States,1944
Sargo,Sargo-class Submarine,United States,1938
Saufley,Fletcher-class Destroyer,United States,1942
Saury,Sargo-class Submarine,United States,
Savo Island,Casablanca-class Escort Carrier,United States,1943
Sawfish,Gato-class Submarine,United States,1942
Scabbardfish,Balao-class Submarine,United States,
Scamp,Gato-class Submarine,United States,
Scharnhorst,Gneisenau-class Battlecruiser,Germany,1936
Schlesien,Deutschland-class Battleship,Germany,1906
Schleswig-Holstein,Deutschland-class Battleship,Germany,1906
Schnellboot-class Summary Information,Schnellboot-class Motor Torpedo Boat,Germany,
Schwabenland,No Classification,Germany,1925
Scirè,Adua-class Submarine,Italy,1938
Scorpion,Gato-class Submarine,United States,1942
Sculpin,Sargo-class Submarine,United States,
Sea Cat,Balao-class Submarine,United States,1944
Sea Devil,Balao-class Submarine,United States,
Sea Dog,Balao-class Submarine,United States,
Sea Fox,Balao-class Submarine,United States,
Sea Owl,Balao-class Submarine,United States,
Sea Poacher,Balao-class Submarine,United States,
Sea Robin,Balao-class Submarine,United States,1944
Seadragon,Sargo-class Submarine,United States,
Seahorse,Balao-class Submarine,United States,1943
Seal,Salmon-class Submarine,United States,1937
Sealion (Balao-class),Balao-class Submarine,United States,
Sealion (Sargo-class),Sargo-class Submarine,United States,1939
Searaven,Sargo-class Submarine,United States,1939
Seawolf,Sargo-class Submarine,United States,
Seeadler,1923-class Motor Torpedo Boat,Germany,1926
Segundo,Balao-class Submarine,United States,1944
Seisho Maru,No Classification,Japan,1918
Sendai,Sendai-class Light Cruiser,Japan,1923
Sennet,Balao-class Submarine,United States,1944
Settsu,Kawachi-class Battleship,Japan,1911
Seydlitz,Admiral Hipper-class Heavy Cruiser,Germany,1939
Shad,Gato-class Submarine,United States,1942
Shamrock Bay,Casablanca-class Escort Carrier,United States,1944
Shark (Balao-class),Balao-class Submarine,United States,1943
Shark (Porpoise-class),Porpoise-class Submarine,United States,1935
Shaw,Mahan-class Destroyer,United States,1935
ShCh-205,Shchuka-class Submarine,Russia,1934
ShCh-307,Shchuka-class Submarine,Russia,1934
ShCh-317,Shchuka-class Submarine,Russia,1935
ShCh-320,Shchuka-class Submarine,Russia,1935
ShCh-324,Shchuka-class Submarine,Russia,1935
ShCh-401,Shchuka-class Submarine,Russia,1935
Shigure,Shiratsuyu-class Destroyer,Japan,1936
Shimakaze,Shimakaze-class Destroyer,Japan,1942
Shinano,Shinano-class Aircraft Carrier,Japan,1944
Shinyo Maru,No Classification,Japan,
Shinyo,Shinyo-class Escort Carrier,Japan,
Shinyo-class Summary Information,Shinyo-class Motor Torpedo Boat,Japan,
Shoho,Zuiho-class Light Carrier,Japan,1935
Shokaku,Shokaku-class Aircraft Carrier,Japan,1939
Siluro a Lenta Corsa-class Summary Information,Siluro a Lenta Corsa-class Midget Submarine,Italy,
Silversides,Gato-class Submarine,United States,
Sims,Sims-class Destroyer,United States,1939
Skate,Balao-class Submarine,United States,
Skipjack,Salmon-class Submarine,United States,1937
Smalley,Fletcher-class Destroyer,United States,1943
Snapper,Salmon-class Submarine,United States,
Snook,Gato-class Submarine,United States,1942
Sokrushitelnyi,Gnevny-class Destroyer,Russia,1936
Soryu,Soryu-class Aircraft Carrier,Japan,1935
South Dakota,South Dakota-class Battleship,United States,1941
Soya,No Classification,Japan,1937
SP1,Spähkreuzer 1938-class Scout Cruiser,Germany,
SP10 (Planned),Spähkreuzer 1938-class Scout Cruiser,Germany,"1944 (Projected, not actual)"
SP11 (Planned),Spähkreuzer 1938-class Scout Cruiser,Germany,"1944 (Projected, not actual)"
SP12 (Planned),Spähkreuzer 1938-class Scout Cruiser,Germany,"1944 (Projected, not actual)"
SP13 (Planned),Spähkreuzer 1938-class Scout Cruiser,Germany,"1945 (Projected, not actual)"
